id,game_id,timestamp,host,event,amount
489307,1739695,"2020-01-01 15:12:35",0,bp,43
489318,1739698,"2020-01-01 15:18:36",1,bp,59
489319,1739698,"2020-01-01 15:18:36",0,bp,41
489324,1739228,"2020-01-01 15:20:34",1,bp,48
489325,1739228,"2020-01-01 15:20:34",0,bp,52
489328,1739226,"2020-01-01 15:12:35",1,bp,46
489329,1739226,"2020-01-01 15:12:35",0,bp,54
489338,1743930,"2020-01-01 15:12:35",1,bp,55
489339,1743930,"2020-01-01 15:12:35",0,bp,45
489348,1739227,"2020-01-01 16:34:35",1,bp,62
489349,1739227,"2020-01-01 16:34:35",0,bp,38
489356,1739229,"2020-01-01 16:53:31",1,bp,55
489357,1739229,"2020-01-01 16:53:31",0,bp,45
489364,1739232,"2020-01-01 15:12:36",1,sh,2
489365,1739232,"2020-01-01 16:13:33",1,ck,2
489366,1739232,"2020-01-01 16:05:34",1,bp,50
489367,1739232,"2020-01-01 16:05:34",0,bp,50
489374,1739231,"2020-01-01 15:12:36",1,bp,56
489375,1739231,"2020-01-01 15:12:36",0,bp,44
489382,1739230,"2020-01-01 15:14:37",1,bp,60
489383,1739230,"2020-01-01 15:14:37",0,bp,40
489390,1739234,"2020-01-01 15:12:36",1,bp,49
489391,1739234,"2020-01-01 15:12:36",0,bp,51
489396,1739235,"2020-01-01 15:12:36",1,bp,32
489397,1739235,"2020-01-01 15:12:36",0,bp,68
489406,1760415,"2020-01-01 16:54:35",0,gl,1
489416,1760419,"2020-01-01 15:36:34",1,gl,1
489417,1760419,"2020-01-01 15:12:37",1,sh,1
489418,1760419,"2020-01-01 15:12:37",1,sg,1
489430,1759702,"2020-01-01 15:43:35",1,bp,49
489431,1759702,"2020-01-01 15:43:35",0,bp,51
489440,1759701,"2020-01-01 16:23:39",1,bp,50
489441,1759701,"2020-01-01 16:23:39",0,bp,50
489452,1759704,"2020-01-01 16:53:32",1,bp,59
489453,1759704,"2020-01-01 16:53:32",0,bp,41
489462,1759705,"2020-01-01 15:12:38",1,bp,60
489463,1759705,"2020-01-01 15:12:38",0,bp,40
489474,1759708,"2020-01-01 15:20:37",1,bp,53
489475,1759708,"2020-01-01 15:20:37",0,bp,47
489484,1759710,"2020-01-01 15:12:39",1,sh,1
489485,1759710,"2020-01-01 15:14:40",0,sh,0
489486,1759710,"2020-01-01 15:12:39",1,sg,1
489487,1759710,"2020-01-01 15:36:36",0,sg,0
489488,1759710,"2020-01-01 15:12:39",1,ck,0
489489,1759710,"2020-01-01 15:45:37",0,ck,1
489490,1759710,"2020-01-01 15:32:41",1,bp,50
489491,1759710,"2020-01-01 15:32:41",0,bp,50
489502,1762312,"2020-01-01 16:11:36",0,gl,1
489504,1759709,"2020-01-01 15:26:37",1,ck,1
489505,1759709,"2020-01-01 15:34:38",0,ck,0
489506,1759709,"2020-01-01 15:12:39",1,bp,42
489507,1759709,"2020-01-01 15:12:39",0,bp,58
489510,1762314,"2020-01-01 16:29:29",1,ck,3
489516,1762317,"2020-01-01 15:26:37",0,ck,3
489532,1742621,"2020-01-01 15:14:44",1,sh,2
489533,1742621,"2020-01-01 16:11:37",1,sg,2
489538,1742622,"2020-01-01 15:12:40",1,bp,65
489539,1742622,"2020-01-01 15:12:40",0,bp,35
489548,1742623,"2020-01-01 15:12:40",1,bp,41
489549,1742623,"2020-01-01 15:12:40",0,bp,59
489556,1826817,"2020-01-01 15:36:39",1,ck,1
489557,1826817,"2020-01-01 15:22:41",1,bp,34
489558,1826817,"2020-01-01 15:22:41",0,bp,66
489566,1742624,"2020-01-01 15:30:39",1,bp,57
489567,1742624,"2020-01-01 15:30:39",0,bp,43
489576,1742625,"2020-01-01 15:18:41",1,ck,2
489577,1742625,"2020-01-01 15:14:43",1,bp,72
489578,1742625,"2020-01-01 15:14:43",0,bp,28
489582,1799439,"2020-01-01 15:12:40",1,bp,55
489583,1799439,"2020-01-01 15:12:40",0,bp,45
489588,1812486,"2020-01-01 15:20:40",1,sh,1
489589,1812486,"2020-01-01 15:12:40",0,sh,0
489590,1812486,"2020-01-01 15:12:40",1,bp,54
489591,1812486,"2020-01-01 15:12:40",0,bp,46
489600,1771831,"2020-01-01 16:25:24",0,gl,1
489601,1771831,"2020-01-01 15:18:41",1,bp,51
489602,1771831,"2020-01-01 15:18:41",0,bp,49
489606,1771829,"2020-01-01 15:14:43",1,bp,47
489607,1771829,"2020-01-01 15:14:43",0,bp,53
489612,1771834,"2020-01-01 15:12:41",1,bp,59
489613,1771834,"2020-01-01 15:12:41",0,bp,41
489622,1771836,"2020-01-01 15:14:44",1,bp,45
489623,1771836,"2020-01-01 15:14:44",0,bp,55
489634,1826873,"2020-01-01 15:40:34",1,ck,2
489648,1771838,"2020-01-01 16:17:07",1,gl,1
489650,1774750,"2020-01-01 15:12:41",0,sh,14
489651,1774750,"2020-01-01 15:12:41",0,sg,4
489660,1826961,"2020-01-01 15:18:42",1,ck,5
489692,1721881,"2020-01-01 15:22:27",1,ck,1
489712,1721879,"2020-01-01 15:32:27",1,bp,21
489713,1721879,"2020-01-01 15:32:27",0,bp,79
489742,1727845,"2020-01-01 15:13:28",1,bp,54
489743,1727845,"2020-01-01 15:13:28",0,bp,46
489756,1728915,"2020-01-01 15:14:36",0,sh,2
489757,1728915,"2020-01-01 16:43:31",1,bp,51
489758,1728915,"2020-01-01 16:43:31",0,bp,49
489784,1721879,"2020-01-01 15:22:27",0,fl,2
489785,1721879,"2020-01-01 15:37:27",1,bp,22
489786,1721879,"2020-01-01 15:37:27",0,bp,78
489787,1721879,"2020-01-01 15:22:27",1,hd,7
489788,1721879,"2020-01-01 15:22:27",0,hd,7
489812,1721881,"2020-01-01 15:19:27",1,sh,2
489813,1721881,"2020-01-01 15:19:27",1,sg,1
489832,1727835,"2020-01-01 15:24:28",1,bp,56
489833,1727835,"2020-01-01 15:24:28",0,bp,44
489842,1721882,"2020-01-01 15:15:27",0,sh,1
489843,1721882,"2020-01-01 15:18:27",1,hd,1
489844,1721882,"2020-01-01 15:18:27",0,hd,0
489854,1727837,"2020-01-01 15:15:28",1,bp,46
489855,1727837,"2020-01-01 15:15:28",0,bp,54
489866,1774746,"2020-01-01 16:22:29",1,gl,2
489868,1774748,"2020-01-01 16:23:28",1,gl,3
489870,1727840,"2020-01-01 15:16:28",0,sh,2
489871,1727840,"2020-01-01 15:24:28",1,fl,0
489872,1727840,"2020-01-01 15:14:28",0,fl,1
489886,1727839,"2020-01-01 16:12:28",1,yc,1
489887,1727839,"2020-01-01 16:19:28",0,yc,1
489904,1727841,"2020-01-01 15:22:28",1,sh,8
489905,1727841,"2020-01-01 15:43:28",1,bp,72
489906,1727841,"2020-01-01 15:43:28",0,bp,28
489907,1727841,"2020-01-01 15:14:28",0,sv,2
489920,1727842,"2020-01-01 15:14:28",1,bp,67
489921,1727842,"2020-01-01 15:14:28",0,bp,33
489936,1727843,"2020-01-01 15:24:28",1,bp,37
489937,1727843,"2020-01-01 15:24:28",0,bp,63
489946,1727845,"2020-01-01 15:14:28",1,bp,56
489947,1727845,"2020-01-01 15:14:28",0,bp,44
489960,1728364,"2020-01-01 15:30:28",1,sh,2
489972,1728366,"2020-01-01 15:30:29",1,sh,4
489973,1728366,"2020-01-01 15:24:29",0,sh,2
489982,1728367,"2020-01-01 15:14:29",1,bp,65
489983,1728367,"2020-01-01 15:14:29",0,bp,35
489998,1728368,"2020-01-01 15:14:29",1,sh,0
489999,1728368,"2020-01-01 15:18:31",0,sh,1
490000,1728368,"2020-01-01 16:48:28",1,bp,60
490001,1728368,"2020-01-01 16:48:28",0,bp,40
490010,1728365,"2020-01-01 15:16:29",1,ck,3
490011,1728365,"2020-01-01 15:30:28",0,ck,0
490012,1728365,"2020-01-01 15:20:29",1,bp,64
490013,1728365,"2020-01-01 15:20:29",0,bp,36
490024,1728370,"2020-01-01 15:14:29",1,bp,72
490025,1728370,"2020-01-01 15:14:29",0,bp,28
490032,1728373,"2020-01-01 15:24:29",1,bp,29
490033,1728373,"2020-01-01 15:24:29",0,bp,71
490058,1728375,"2020-01-01 15:14:30",1,bp,61
490059,1728375,"2020-01-01 15:14:30",0,bp,39
490072,1728905,"2020-01-01 15:16:32",1,fl,2
490073,1728905,"2020-01-01 15:26:29",1,ck,2
490086,1728369,"2020-01-01 15:24:29",0,gl,1
490087,1728369,"2020-01-01 15:24:29",0,sh,4
490088,1728369,"2020-01-01 15:24:29",0,sg,2
490089,1728369,"2020-01-01 15:14:30",1,bp,40
490090,1728369,"2020-01-01 15:14:30",0,bp,60
490104,1728374,"2020-01-01 15:14:30",0,sh,3
490105,1728374,"2020-01-01 15:14:30",1,bp,41
490106,1728374,"2020-01-01 15:14:30",0,bp,59
490130,1728908,"2020-01-01 16:36:29",1,ck,1
490131,1728908,"2020-01-01 15:32:30",0,ck,0
490132,1728908,"2020-01-01 16:13:29",1,bp,58
490133,1728908,"2020-01-01 16:13:29",0,bp,42
490144,1728906,"2020-01-01 15:30:29",0,fl,2
490145,1728906,"2020-01-01 15:16:30",1,of,1
490146,1728906,"2020-01-01 15:26:29",0,of,0
490147,1728906,"2020-01-01 15:16:30",1,hd,7
490148,1728906,"2020-01-01 15:16:30",0,hd,7
490158,1728911,"2020-01-01 15:26:31",1,fl,0
490159,1728911,"2020-01-01 15:20:30",0,fl,1
490160,1728911,"2020-01-01 15:22:30",1,bp,42
490161,1728911,"2020-01-01 15:22:30",0,bp,58
490162,1728911,"2020-01-01 15:20:30",1,hd,13
490163,1728911,"2020-01-01 15:20:30",0,hd,13
490170,1728904,"2020-01-01 15:43:29",1,sh,4
490171,1728904,"2020-01-01 15:43:29",1,sg,2
490172,1728904,"2020-01-01 16:54:29",1,ck,1
490173,1728904,"2020-01-01 15:18:32",0,ck,0
490174,1728904,"2020-01-01 15:14:32",1,bp,44
490175,1728904,"2020-01-01 15:14:32",0,bp,56
490192,1728913,"2020-01-01 15:14:32",0,sh,5
490193,1728913,"2020-01-01 15:16:31",1,bp,48
490194,1728913,"2020-01-01 15:16:31",0,bp,52
490204,1728914,"2020-01-01 15:36:30",0,sh,4
490205,1728914,"2020-01-01 15:43:30",0,sg,3
490206,1728914,"2020-01-01 15:38:30",0,ck,3
490222,1743924,"2020-01-01 15:14:32",1,ck,0
490223,1743924,"2020-01-01 15:38:30",0,ck,1
490230,1728910,"2020-01-01 15:22:30",1,sh,3
490231,1728910,"2020-01-01 15:14:33",0,sh,1
490232,1728910,"2020-01-01 15:16:32",0,sg,1
490233,1728910,"2020-01-01 15:26:30",1,fl,0
490234,1728910,"2020-01-01 15:16:32",0,fl,4
490235,1728910,"2020-01-01 16:07:30",1,ck,0
490236,1728910,"2020-01-01 15:14:33",0,ck,1
490237,1728910,"2020-01-01 15:39:30",1,bp,32
490238,1728910,"2020-01-01 15:39:30",0,bp,68
490239,1728910,"2020-01-01 15:22:30",1,hd,5
490240,1728910,"2020-01-01 15:22:30",0,hd,5
490244,1774744,"2020-01-01 16:24:27",0,yc,1
490245,1774744,"2020-01-01 16:23:27",1,bp,46
490246,1774744,"2020-01-01 16:23:27",0,bp,54
490256,1743925,"2020-01-01 16:32:59",1,bp,43
490257,1743925,"2020-01-01 16:32:59",0,bp,57
490264,1728912,"2020-01-01 15:16:31",0,fl,2
490265,1728912,"2020-01-01 15:16:31",1,hd,5
490266,1728912,"2020-01-01 15:16:31",0,hd,5
490278,1743926,"2020-01-01 16:49:31",1,bp,54
490279,1743926,"2020-01-01 16:49:31",0,bp,46
490286,1743927,"2020-01-01 15:20:32",1,bp,42
490287,1743927,"2020-01-01 15:20:32",0,bp,58
490294,1743930,"2020-01-01 15:14:34",0,sh,2
490295,1743930,"2020-01-01 15:14:34",0,ck,3
490296,1743930,"2020-01-01 15:14:34",1,bp,47
490297,1743930,"2020-01-01 15:14:34",0,bp,53
490304,1743928,"2020-01-01 15:22:32",1,bp,36
490305,1743928,"2020-01-01 15:22:32",0,bp,64
490334,1743935,"2020-01-01 15:14:34",1,bp,36
490335,1743935,"2020-01-01 15:14:34",0,bp,64
490346,1743934,"2020-01-01 16:54:31",1,bp,51
490347,1743934,"2020-01-01 16:54:31",0,bp,49
490356,1743933,"2020-01-01 15:16:34",1,sh,1
490357,1743933,"2020-01-01 15:30:31",0,sh,0
490364,1728909,"2020-01-01 15:16:32",1,fl,1
490365,1728909,"2020-01-01 15:16:32",0,fl,2
490366,1728909,"2020-01-01 15:24:30",1,bp,51
490367,1728909,"2020-01-01 15:24:30",0,bp,49
490368,1728909,"2020-01-01 15:16:32",1,hd,10
490369,1728909,"2020-01-01 15:16:32",0,hd,10
490394,1739691,"2020-01-01 15:22:32",1,sh,5
